"velocidad" "parque"
"563" 16.16 "Parque1"
"564" 15.74 "Parque1"
"565" 14.19 "Parque1"
"566" 12.93 "Parque1"
"567" 12.91 "Parque1"
"568" 14.01 "Parque1"
"569" 14.91 "Parque1"
"570" 14.06 "Parque1"
"571" 12.51 "Parque1"
"572" 11.44 "Parque1"
"573" 9.98 "Parque1"
"574" 9.87 "Parque1"
"575" 8.66 "Parque1"
"576" 9.44 "Parque1"
"577" 9.68 "Parque1"
"578" 10.67 "Parque1"
"579" 10.53 "Parque1"
"580" 10.99 "Parque1"
"581" 11.13 "Parque1"
"582" 11.17 "Parque1"
"583" 10.38 "Parque1"
"584" 5.98 "Parque1"
"585" 5.25 "Parque1"
"586" 3.37 "Parque1"
"587" 4.37 "Parque1"
"588" 6.22 "Parque1"
"589" 7.97 "Parque1"
"590" 7.49 "Parque1"
"591" 8.44 "Parque1"
"592" 9.47 "Parque1"
"593" 10.12 "Parque1"
"594" 10.07 "Parque1"
"595" 9.96 "Parque1"
"596" 8.94 "Parque1"
"597" 10.29 "Parque1"
"598" 10.6 "Parque1"
"599" 8.87 "Parque1"
"600" 10.87 "Parque1"
"601" 9.65 "Parque1"
"602" 11.37 "Parque1"
"603" 11.25 "Parque1"
"604" 10.23 "Parque1"
"605" 8.94 "Parque1"
"606" 7.86 "Parque1"
"607" 7.09 "Parque1"
"608" 7.73 "Parque1"
"609" 4.49 "Parque1"
"610" 8.17 "Parque1"
"611" 7.28 "Parque1"
"612" 7.29 "Parque1"
"613" 8.46 "Parque1"
"614" 7.83 "Parque1"
"615" 7.41 "Parque1"
"616" 7.98 "Parque1"
"617" 7.35 "Parque1"
"618" 9.36 "Parque1"
"619" 9.52 "Parque1"
"620" 8.49 "Parque1"
"621" 10.72 "Parque1"
"622" 11.26 "Parque1"
"623" 10.27 "Parque1"
"624" 11.36 "Parque1"
"625" 12.07 "Parque1"
"626" 11.98 "Parque1"
"627" 11.41 "Parque1"
"628" 13.3 "Parque1"
"629" 12.81 "Parque1"
"630" 12.95 "Parque1"
"631" 12.49 "Parque1"
"632" 12.73 "Parque1"
"633" 12.27 "Parque1"
"634" 12.45 "Parque1"
"635" 12.56 "Parque1"
"636" 9.7 "Parque1"
"637" 9.6 "Parque1"
"638" 9.27 "Parque1"
"639" 8.26 "Parque1"
"640" 7.91 "Parque1"
"641" 12.48 "Parque1"
"642" 10.67 "Parque1"
"643" 10.46 "Parque1"
"644" 7.18 "Parque1"
"645" 5.78 "Parque1"
"646" 3.74 "Parque1"
"647" 3.63 "Parque1"
"648" 1.99 "Parque1"
"649" 2.95 "Parque1"
"650" 4.45 "Parque1"
"651" 5.81 "Parque1"
"652" 4.52 "Parque1"
"653" 2.18 "Parque1"
"654" 5 "Parque1"
"655" 7.99 "Parque1"
"656" 6.64 "Parque1"
"657" 7.08 "Parque1"
"658" 6.9 "Parque1"
"659" 5.84 "Parque1"
"660" 4.87 "Parque1"
"661" 4.02 "Parque1"
"662" 6.12 "Parque1"
"663" 3.65 "Parque1"
"664" 3.1 "Parque1"
"665" 1.37 "Parque1"
"666" 1.75 "Parque1"
"667" 2.08 "Parque1"
"668" 3.73 "Parque1"
"669" 3.04 "Parque1"
"670" 2.71 "Parque1"
"671" 3.31 "Parque1"
"672" 5.64 "Parque1"
"673" 6.36 "Parque1"
"674" 5.92 "Parque1"
"675" 6.13 "Parque1"
"676" 7.4 "Parque1"
"677" 6.82 "Parque1"
"678" 6.62 "Parque1"
"679" 7.04 "Parque1"
"680" 4.87 "Parque1"
"681" 2.76 "Parque1"
"682" 2.39 "Parque1"
"683" 2.04 "Parque1"
"684" 1.13 "Parque1"
"685" 0.87 "Parque1"
"686" 0.99 "Parque1"
"687" 1.56 "Parque1"
"688" 1.24 "Parque1"
"689" 0.81 "Parque1"
"690" 1.5 "Parque1"
"691" 2.54 "Parque1"
"692" 3.95 "Parque1"
"693" 4.13 "Parque1"
"694" 4.08 "Parque1"
"695" 3.93 "Parque1"
"696" 3.47 "Parque1"
"697" 2.73 "Parque1"
"698" 2.76 "Parque1"
"699" 3.15 "Parque1"
"700" 2.27 "Parque1"
"701" 2.09 "Parque1"
"702" 1.93 "Parque1"
"703" 3.5 "Parque1"
"704" 4.53 "Parque1"
"705" 3.86 "Parque1"
"706" 3.58 "Parque1"
"707" 3.77 "Parque1"
"708" 3.92 "Parque1"
"709" 3.47 "Parque1"
"710" 3.38 "Parque1"
"711" 2.95 "Parque1"
"712" 3.47 "Parque1"
"713" 3.5 "Parque1"
"714" 3.24 "Parque1"
"715" 2.56 "Parque1"
"716" 4.1 "Parque1"
"717" 4.61 "Parque1"
"718" 5.28 "Parque1"
"719" 3.79 "Parque1"
"720" 4.81 "Parque1"
"721" 3.6 "Parque1"
"722" 3.84 "Parque1"
"723" 3.65 "Parque1"
"724" 4 "Parque1"
"725" 3.64 "Parque1"
"726" 6.11 "Parque1"
"727" 6.8 "Parque1"
"728" 7.33 "Parque1"
"729" 6.55 "Parque1"
"730" 8.44 "Parque1"
"731" 4.03 "Parque2"
"732" 2.75 "Parque2"
"733" 1.99 "Parque2"
"734" 1.92 "Parque2"
"735" 2.28 "Parque2"
"736" 3.85 "Parque2"
"737" 5.52 "Parque2"
"738" 5.1 "Parque2"
"739" 5.91 "Parque2"
"740" 4.57 "Parque2"
"741" 4.77 "Parque2"
"742" 5.15 "Parque2"
"743" 5.27 "Parque2"
"744" 5.2 "Parque2"
"745" 4.71 "Parque2"
"746" 5.15 "Parque2"
"747" 4.94 "Parque2"
"748" 5.26 "Parque2"
"749" 5.87 "Parque2"
"750" 5.8 "Parque2"
"751" 5.28 "Parque2"
"752" 4.7 "Parque2"
"753" 4.53 "Parque2"
"754" 4.78 "Parque2"
"755" 4.36 "Parque2"
"756" 5.21 "Parque2"
"757" 4.85 "Parque2"
"758" 4.86 "Parque2"
"759" 5.71 "Parque2"
"760" 5.15 "Parque2"
"761" 5.33 "Parque2"
"762" 5.39 "Parque2"
"763" 4.93 "Parque2"
"764" 4.94 "Parque2"
"765" 6.59 "Parque2"
"766" 4.83 "Parque2"
"767" 3.64 "Parque2"
"768" 3.9 "Parque2"
"769" 2.76 "Parque2"
"770" 2.33 "Parque2"
"771" 2.53 "Parque2"
"772" 3.33 "Parque2"
"773" 3.03 "Parque2"
"774" 2 "Parque2"
"775" 1.16 "Parque2"
"776" 2.75 "Parque2"
"777" 3.74 "Parque2"
"778" 4.08 "Parque2"
"779" 3.64 "Parque2"
"780" 3.83 "Parque2"
"781" 4.87 "Parque2"
"782" 4.45 "Parque2"
"783" 4.19 "Parque2"
"784" 4.73 "Parque2"
"785" 3.82 "Parque2"
"786" 2.95 "Parque2"
"787" 1.85 "Parque2"
"788" 1.31 "Parque2"
"789" 4.41 "Parque2"
"790" 5.04 "Parque2"
"791" 4.54 "Parque2"
"792" 3.32 "Parque2"
"793" 3.22 "Parque2"
"794" 3.73 "Parque2"
"795" 4.36 "Parque2"
"796" 5 "Parque2"
"797" 5.56 "Parque2"
"798" 5.39 "Parque2"
"799" 5.6 "Parque2"
"800" 5.35 "Parque2"
"801" 4.93 "Parque2"
"802" 6.45 "Parque2"
"803" 6.95 "Parque2"
"804" 6.66 "Parque2"
"805" 6.8 "Parque2"
"806" 7.99 "Parque2"
"807" 7.32 "Parque2"
"808" 8.04 "Parque2"
"809" 6.82 "Parque2"
"810" 7.08 "Parque2"
"811" 5.96 "Parque2"
"812" 8.28 "Parque2"
"813" 9.06 "Parque2"
"814" 10.36 "Parque2"
"815" 8.32 "Parque2"
"816" 7.27 "Parque2"
"817" 7.76 "Parque2"
"818" 6.52 "Parque2"
"819" 6.23 "Parque2"
"820" 6.93 "Parque2"
"821" 4.89 "Parque2"
"822" 3.84 "Parque2"
"823" 4.36 "Parque2"
"824" 3.68 "Parque2"
"825" 3.6 "Parque2"
"826" 2.99 "Parque2"
"827" 2.63 "Parque2"
"828" 2.3 "Parque2"
"829" 3.12 "Parque2"
"830" 3 "Parque2"
"831" 2.18 "Parque2"
"832" 2.86 "Parque2"
"833" 2.23 "Parque2"
"834" 1.91 "Parque2"
"835" 2.33 "Parque2"
"836" 2.63 "Parque2"
"837" 2.68 "Parque2"
"838" 1.86 "Parque2"
"839" 1.37 "Parque2"
"840" 1.09 "Parque2"
"841" 1.03 "Parque2"
"842" 1.9 "Parque2"
"843" 2.15 "Parque2"
"844" 2.08 "Parque2"
"845" 1.4 "Parque2"
"846" 2.5 "Parque2"
"847" 1.23 "Parque2"
"848" 0.61 "Parque2"
"849" 1.06 "Parque2"
"850" 1.28 "Parque2"
"851" 0.98 "Parque2"
"852" 0.86 "Parque2"
"853" 1.93 "Parque2"
"854" 2.88 "Parque2"
"855" 3.62 "Parque2"
"856" 3.54 "Parque2"
"857" 3.51 "Parque2"
"858" 3.74 "Parque2"
"859" 3.6 "Parque2"
"860" 3.19 "Parque2"
"861" 2.98 "Parque2"
